Age,Sex,Job,Credit amount,Duration,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_moderate,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_good
22,0,2,5951,48,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
45,1,2,7882,42,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
53,1,2,4870,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35,1,3,6948,36,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
28,1,3,5234,30,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
25,0,2,1295,12,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
24,0,2,4308,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,0,2,1567,12,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
60,1,1,1199,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,0,2,1403,15,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
32,0,1,1282,24,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
44,0,3,12579,24,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
44,1,2,2647,6,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
48,1,1,2241,10,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
44,1,2,1804,12,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
36,1,1,1374,6,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,0,2,409,12,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
34,1,2,2415,7,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
63,1,2,6836,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,1,2,1913,18,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
27,1,2,4020,24,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
30,1,2,5866,18,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
33,0,3,1474,12,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
25,1,1,4746,45,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
37,1,2,2100,18,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
37,1,2,1225,10,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
24,1,2,458,9,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
26,1,2,1158,12,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True
44,1,1,6204,18,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
24,1,2,6187,30,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
58,0,1,6143,48,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
23,0,0,1352,6,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
30,1,3,5965,27,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
57,1,2,2225,36,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
23,0,3,1961,18,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
23,0,1,6229,36,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
27,1,2,1391,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
61,1,3,1953,36,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
25,1,2,14421,48,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
22,1,2,1007,12,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True
51,1,3,1164,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
41,0,1,5954,42,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
66,1,3,1526,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
34,1,2,3965,42,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
51,1,2,4771,11,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
22,1,2,3832,30,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
58,0,1,1755,24,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
52,1,1,2315,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
27,0,2,1295,18,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
47,1,2,12612,36,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
30,1,3,2249,18,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
28,1,2,1108,12,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
54,1,2,1409,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
54,1,2,1318,12,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True
58,1,2,15945,54,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
34,1,2,2622,18,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
36,1,2,2337,36,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
24,1,2,2323,36,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
35,1,2,1919,9,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
39,1,3,11938,24,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
32,1,2,6078,12,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
35,1,2,1410,14,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
31,1,2,1449,6,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
23,0,2,392,15,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
28,1,1,6260,18,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
35,1,2,1680,12,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
23,0,2,4281,33,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
36,1,3,2366,12,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True
25,0,2,1835,21,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
63,1,2,781,10,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
30,1,2,2121,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
40,1,1,701,12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
30,1,2,639,12,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
34,1,3,1860,12,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
29,0,2,3499,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
29,1,2,6887,36,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
66,1,1,766,12,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False
44,0,1,1881,12,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
27,1,0,709,6,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True
30,0,3,4795,36,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
27,1,3,3416,27,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
22,1,2,2462,18,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
30,1,2,3566,48,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
39,0,2,860,6,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
28,1,2,5371,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
24,1,2,5848,36,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
29,0,2,7758,24,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True
36,1,3,6967,24,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
20,0,2,1282,12,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
48,1,2,1288,9,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
45,1,1,339,12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
38,1,2,3512,24,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
70,1,3,7308,10,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
33,0,2,1131,18,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,0,2,1577,11,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True
31,1,2,1935,24,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33,1,2,950,15,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
34,0,3,2064,24,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
33,1,2,1414,8,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
26,1,2,3414,21,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
42,1,2,2577,12,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
52,1,2,338,6,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
65,1,2,571,21,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
30,1,3,4455,36,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
36,1,2,884,18,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
74,0,3,5129,9,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
68,1,0,1175,16,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
20,1,2,674,12,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
33,0,2,3244,18,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
34,1,1,3844,48,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
36,1,2,3915,27,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,1,2,3031,45,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
34,0,3,1501,9,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
27,0,2,951,12,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False
40,1,3,4297,18,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
27,1,1,1168,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
21,1,2,902,12,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
38,1,3,10623,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
26,1,2,1424,12,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
21,1,1,6568,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
50,1,2,5293,27,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,1,3,1908,30,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,1,2,3104,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,1,2,3913,36,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
24,1,1,3021,24,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
26,1,1,625,12,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
27,1,2,10961,48,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False
53,1,3,7865,12,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22,1,2,3149,24,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
26,1,2,4210,36,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
25,1,1,866,18,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
30,1,3,1823,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
61,1,1,2767,21,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
39,1,2,2522,30,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
24,1,2,4605,48,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,1,2,1925,24,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
39,0,1,666,6,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
46,0,1,2251,12,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
24,0,2,2150,30,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
29,1,2,2149,12,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,1,2,1657,12,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
55,0,2,1603,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
36,1,3,5302,18,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
37,1,2,802,15,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
45,1,3,8978,14,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,1,2,3060,48,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
34,1,1,11998,30,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
37,1,2,3878,24,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True
35,0,1,10722,47,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
26,1,2,4788,48,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
31,1,3,7582,48,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True
49,0,2,1092,12,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
48,1,2,1024,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
28,1,3,9398,36,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
44,0,3,6419,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
56,1,2,4796,42,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
26,0,2,9960,48,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
32,1,2,2745,21,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True
42,0,2,3804,36,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
49,1,2,1038,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
33,1,1,727,12,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
24,0,2,1237,8,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
22,1,1,276,9,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
26,0,2,3749,24,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
25,1,1,685,12,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
31,1,2,2746,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
38,1,1,708,12,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
27,0,1,3643,15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
28,1,3,4249,30,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
32,1,2,1938,24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34,1,3,2910,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
28,1,2,2659,18,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
39,1,1,3398,8,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
31,1,2,4473,36,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
28,1,2,1068,6,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
75,1,3,6615,24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
24,0,3,7408,60,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
23,1,2,4110,24,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
44,1,3,3384,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
23,0,1,2101,13,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
28,1,2,4169,24,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
31,1,1,1521,10,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
24,0,2,5743,24,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
26,0,1,3599,21,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
25,1,2,3213,18,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True
33,1,3,4439,18,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
37,1,1,3949,10,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
23,1,2,882,13,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
23,0,0,3758,24,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True
32,1,2,1136,9,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
29,0,2,959,9,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
28,1,2,6199,12,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
23,1,1,1246,24,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
23,0,2,2406,30,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
36,0,2,2247,12,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
25,1,0,2473,18,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22,0,2,3650,18,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
42,1,2,3446,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40,0,2,3001,18,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
60,0,3,14782,60,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
37,0,2,7685,48,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
57,1,3,14318,36,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
38,0,3,12976,18,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
26,1,2,1330,12,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
40,1,3,7374,18,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
27,1,2,2326,15,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
19,0,1,983,12,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True
39,1,3,3249,36,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
31,0,2,1957,6,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
32,1,2,11760,39,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True
55,0,3,2578,12,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,1,2,2348,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
46,1,2,1223,12,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
22,1,2,2039,24,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
27,1,2,1053,15,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
28,1,2,939,12,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False
20,0,2,1967,24,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
33,1,1,2579,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
47,1,1,958,12,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
21,1,2,2779,18,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
55,0,0,1190,18,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29,1,3,11328,24,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
36,1,3,1872,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
25,1,2,2136,9,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
65,1,0,3394,42,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
26,0,0,609,12,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,0,2,1620,12,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
29,1,2,2629,20,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True
30,0,3,5096,48,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
34,0,2,1842,36,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35,1,2,2576,7,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
61,1,2,1512,15,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False
31,1,2,4817,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
36,1,2,3905,11,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
35,1,2,3386,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
27,0,2,343,6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
37,1,2,3620,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
36,1,2,1721,15,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
34,0,3,3017,12,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
63,1,2,2924,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
29,0,1,1659,24,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
22,1,2,3092,24,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
23,0,2,448,6,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
28,1,1,654,9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
33,1,2,1245,18,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
26,0,2,3114,18,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
25,1,2,5152,24,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
39,1,1,1037,12,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
44,1,2,1478,15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
23,0,1,3573,12,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
26,1,2,1201,24,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
57,0,2,3622,30,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
47,1,3,1209,6,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
42,0,3,8318,27,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
39,1,1,2122,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
29,1,3,9034,36,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False
32,1,1,1301,18,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
28,1,2,1323,6,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True
27,0,2,3123,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
